iter	Passed	Remaining
644	13424	7388
645	13443	7367
646	13463	7345
647	13484	7325
648	13510	7306
649	13529	7285
650	13548	7263
651	13567	7241
652	13586	7219
653	13605	7198
654	13623	7175
655	13645	7155
656	13673	7138
657	13692	7116
658	13711	7094
659	13733	7074
660	13752	7053
661	13771	7031
662	13790	7009
663	13809	6987
664	13830	6967
665	13852	6946
666	13874	6926
667	13894	6905
668	13913	6884
669	13933	6862
670	13953	6841
671	13980	6823
672	14003	6804
673	14025	6783
674	14045	6762
675	14066	6741
676	14090	6722
677	14109	6701
678	14129	6679
679	14148	6658
680	14168	6637
681	14190	6616
682	14209	6595
683	14234	6576
684	14254	6554
685	14274	6533
686	14293	6512
687	14311	6490
688	14332	6469
689	14357	6450
690	14377	6429
691	14397	6408
692	14416	6386
693	14436	6365
694	14457	6344
695	14477	6323
696	14496	6302
697	14517	6281
698	14541	6261
699	14561	6240
700	14582	6219
701	14602	6198
702	14623	6177
703	14647	6158
704	14668	6137
705	14688	6116
706	14708	6095
707	14729	6074
708	14749	6053
709	14770	6032
710	14790	6011
711	14810	5990
712	14830	5969
713	14849	5948
714	14874	5929
715	14895	5908
716	14914	5886
717	14934	5865
718	14954	5844
719	14974	5823
720	14994	5802
721	15013	5780
722	15037	5761
723	15057	5740
724	15077	5719
725	15098	5698
726	15141	5685
727	15160	5664
728	15180	5643
729	15199	5621
730	15219	5600
731	15239	5579
732	15261	5559
733	15283	5538
734	15306	5518
735	15326	5497
736	15347	5476
737	15368	5456
738	15391	5435
739	15411	5414
740	15431	5393
741	15451	5372
742	15471	5351
743	15508	5336
744	15528	5315
745	15549	5294
746	15569	5273
747	15589	5251
748	15608	5230
749	15628	5209
750	15648	5188
751	15674	5169
752	15693	5147
753	15720	5128
754	15739	5107
755	15761	5087
756	15782	5066
757	15802	5045
758	15821	5023
759	15841	5002
760	15860	4981
761	15886	4961
762	15905	4940
763	15925	4919
764	15945	4898
765	15966	4877
766	15986	4856
767	16006	4835
768	16029	4814
769	16051	4794
770	16070	4773
771	16090	4752
772	16110	4730
773	16129	4709
774	16148	4688
775	16167	4667
776	16188	4646
777	16208	4625
778	16229	4604
779	16256	4585
780	16276	4564
781	16297	4543
782	16318	4522
783	16343	4502
784	16364	4482
785	16384	4460
786	16404	4439
787	16423	4418
788	16444	4397
789	16464	4376
790	16483	4355
791	16502	4333
792	16521	4312
793	16541	4291
794	16561	4270
795	16583	4250
796	16603	4229
797	16623	4208
798	16643	4186
799	16663	4165
800	16681	4144
801	16704	4124
802	16728	4104
803	16748	4083
804	16768	4061
805	16788	4040
806	16809	4020
807	16830	3999
808	16850	3978
809	16870	3957
810	16890	3936
811	16911	3915
812	16934	3895
813	16954	3874
814	16973	3852
815	16993	3831
816	17013	3810
817	17032	3789
818	17052	3768
819	17071	3747
820	17097	3727
821	17117	3706
822	17139	3686
823	17160	3665
824	17179	3644
825	17200	3623
826	17221	3602
827	17242	3581
828	17262	3560
829	17282	3539
830	17303	3519
831	17329	3499
832	17349	3478
833	17368	3457
834	17395	3437
835	17414	3416
836	17434	3395
837	17454	3374
838	17478	3354
839	17498	3333
840	17518	3312
841	17539	3291
842	17557	3269
843	17581	3249
844	17601	3228
845	17622	3207
846	17642	3186
847	17661	3165
848	17680	3144
849	17699	3123
850	17720	3102
851	17742	3081
852	17764	3061
853	17786	3040
854	17809	3020
855	17831	2999
856	17852	2978
857	17873	2958
858	17895	2937
859	17914	2916
860	17935	2895
861	17955	2874
862	17975	2853
863	17997	2833
864	18018	2812
865	18040	2791
866	18058	2770
867	18078	2749
868	18098	2728
869	18118	2707
870	18138	2686
871	18156	2665
872	18179	2644
873	18200	2623
874	18219	2602
875	18239	2581
876	18258	2560
877	18278	2539
878	18299	2519
879	18326	2499
880	18347	2478
881	18366	2457
882	18387	2436
883	18407	2415
884	18427	2394
885	18452	2374
886	18472	2353
887	18493	2332
888	18513	2311
889	18532	2290
890	18550	2269
891	18572	2248
892	18605	2229
893	18626	2208
894	18650	2188
895	18688	2169
896	18720	2149
897	18740	2128
898	18760	2107
899	18780	2086
900	18803	2066
901	18826	2045
902	18852	2025
903	18876	2004
904	18897	1983
