,MARKET_TYPE,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NUMBER,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,WINDOWS_TYPE,HEATING,SECURITY_TYPES,PRICE_PER_M2,DISTANCE_FROM_CITY_CENTER_KM,RESIDENTIAL_AREA,DISTRICT
3378,secondary,agency,619000.0,60.0,3,1986.0,floor_4,7.0,concrete_plate,full_ownership,block,unknown,"balcony, basement, lift",plastic,urban,0,10316.67,6.25,Pilczyce-Kozanów-Popowice Północne,Fabryczna
3379,secondary,agency,425000.0,53.0,2,1929.0,floor_4,4.0,brick,full_ownership,tenement,unknown,basement,plastic,gas,entryphone,8018.87,1.01,Nadodrze,Śródmieście
3380,secondary,agency,565000.0,52.0,3,1980.0,floor_3,3.0,concrete_plate,full_ownership,block,unknown,"balcony, basement",plastic,urban,entryphone,10865.38,5.01,Nowy Dwór,Fabryczna
3381,secondary,agency,595000.0,55.0,2,1979.0,floor_5,5.0,concrete_plate,co_operative_ownership,block,unknown,"air_conditioning, balcony, basement",plastic,urban,"anti_burglary_door, entryphone, roller_shutters",10818.18,2.32,Huby,Krzyki
3382,secondary,agency,475000.0,63.42,2,1928.0,floor_1,2.0,brick,full_ownership,tenement,unknown,"balcony, basement",wooden,other,entryphone,7489.75,3.85,Tarnogaj,Krzyki
3383,secondary,agency,649000.0,58.79,3,2016.0,floor_5,5.0,unknown,full_ownership,block,unknown,"balcony, lift",plastic,urban,"entryphone, monitoring",11039.29,5.92,Krzyki-Partynice,Krzyki
3384,secondary,agency,700000.0,98.65,5,1990.0,floor_4,4.0,brick,full_ownership,tenement,unknown,0,plastic,gas,entryphone,7095.79,1.52,Plac Grunwaldzki,Śródmieście
3385,secondary,agency,650000.0,70.24,4,1980.0,floor_2,4.0,other,full_ownership,block,unknown,"balcony, basement",plastic,urban,entryphone,9253.99,5.8,Pilczyce-Kozanów-Popowice Północne,Fabryczna
3386,secondary,agency,399000.0,44.0,1,1900.0,floor_3,4.0,brick,full_ownership,tenement,to_renovation,0,plastic,urban,entryphone,9068.18,1.54,Przedmieście Świdnickie,Stare Miasto
3387,secondary,agency,780000.0,78.28,3,1930.0,floor_3,5.0,brick,full_ownership,tenement,ready_to_use,"basement, lift",plastic,urban,0,9964.23,0.9,Przedmieście Świdnickie,Stare Miasto
3388,secondary,agency,540000.0,47.0,2,2021.0,floor_2,4.0,unknown,unknown,apartment,ready_to_use,"balcony, garage, lift",unknown,urban,0,11489.36,6.25,Wojszyce,Krzyki
3389,primary,agency,776365.0,83.57,4,2021.0,floor_1,1.0,unknown,full_ownership,apartment,to_completion,"balcony, garage, garden",plastic,gas,closed_area,9290.0,10.22,Jerzmanowo-Jarnołtów-Strachowice-Osiniec,Fabryczna
3390,primary,agency,939616.0,76.03,4,2024.0,floor_7,7.0,unknown,unknown,unknown,unknown,0,unknown,unknown,0,12358.49,2.93,Huby,Krzyki
