ID,SLUG,MARKET_TYPE,TRANSACTION_TYPE,ESTATE_CATEGORY,USER_TYPE,PRICE,AREA,ROOMS_NUM,BUILD_YEAR,FLOOR_NUMBER,BUILDING_FLOORS_NUM,BUILDING_MATERIAL,BUILDING_OWNERSHIP,BUILDING_TYPE,CONSTRUCTION_STATUS,EXTRAS_TYPES,EQUIPMENT_TYPES,WINDOWS_TYPE,RENT,HEATING,SECURITY_TYPES,COUNTRY,PROVINCE,SUBREGION,CITY,DISTRICT,SUBDISTRICT,STREET,LATITUDE,LONGITUDE
64010047,lokalizacja-lokalizacja-lokalizacja-ID4kzV7,secondary,SELL,FLAT,agency,850000.0,70.5,3,1996.0,floor_2,6.0,,co_operative_ownership,block,,"air_conditioning, balcony, basement, lift, separate_kitchen, usable_room","dishwasher, fridge, furniture, oven, stove, washing_machine",wooden,850.0,urban,"closed_area, entryphone, monitoring",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Nadodrze,,ul. Bolesława Prusa,51.118730422670566,17.04136658431703
64010017,52m2-4-pory-roku-do-zamieszkania-ID4kzWD,secondary,SELL,FLAT,agency,538900.0,51.8,2,2006.0,floor_2,3.0,silikat,full_ownership,block,ready_to_use,"balcony, garage, separate_kitchen, usable_room",,,,urban,monitoring,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Jagodno,,,51.05494,17.06005
63971140,piekne-komfortowe-2-pokojowe-z-oddzielna-kuchnia-ID4kpOA,secondary,SELL,FLAT,agency,428000.0,37.0,2,1950.0,floor_2,3.0,brick,full_ownership,block,ready_to_use,"basement, garage, separate_kitchen, usable_room","oven, stove",plastic,325.0,urban,entryphone,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Kuźniki,,ul. Hermanowska,51.1235409,16.9512796
63926916,m-52m2-2pok-479000-pln-klecina-wroclaw-ID4keji,secondary,SELL,FLAT,agency,479000.0,52.1,1,2000.0,ground_floor,3.0,other,full_ownership,block,,"air_conditioning, balcony, basement",furniture,plastic,,urban,"closed_area, entryphone, monitoring",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Klecina,,"Cukrowa, Park Kleciński",51.0626941,16.9892622
63465430,mieszkanie-3-pok-osobna-kuchnia-centrum-56-m-ID4iifY,secondary,SELL,FLAT,agency,439000.0,56.03,3,1973.0,floor_4,4.0,concrete_plate,full_ownership,block,to_renovation,"basement, garage, separate_kitchen, usable_room",,,500.0,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Grabiszyn,,ul. Krucza,51.0943336,17.0163903
64009957,2-pok-55mkw-blok-z-2003r-widok-na-rzeke-ID4kzUF,secondary,SELL,FLAT,agency,589000.0,55.0,2,2003.0,floor_2,4.0,cellular_concrete,co_operative_ownership_with_a_land_and_mortgage_registe,block,ready_to_use,"balcony, basement, lift, separate_kitchen","dishwasher, fridge, furniture, oven, stove, washing_machine",plastic,,boiler_room,entryphone,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Ołbin,,ul. Stefana Jaracza,51.1248788,17.056945
64009927,duza-jasna-loggia-2-sypialnie-spokojna-okolica-ID4kzUb,secondary,SELL,FLAT,private,435000.0,47.0,2,1978.0,ground_floor,5.0,concrete_plate,full_ownership,block,to_completion,usable_room,,plastic,340.0,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Tarnogaj,,ul. Złotostocka,51.0785153,17.0600943
64009947,ostatnie-mieszkania-przy-parku-blisko-tramwaj-ID4kzUw,primary,SELL,FLAT,agency,369900.0,32.06,2,2023.0,floor_1,7.0,,,block,,"air_conditioning, balcony, garage, lift, terrace",,,,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Klecina,,,51.062,16.97262
64009945,2-pok-50m2-taras-garaz-stare-miasto-teczowa-ID4kzUt,secondary,SELL,FLAT,agency,665000.0,50.0,2,2008.0,floor_3,6.0,,full_ownership,apartment,,"basement, garage, lift, separate_kitchen, terrace","dishwasher, fridge, furniture, oven, stove, washing_machine",plastic,600.0,urban,"anti_burglary_door, closed_area, entryphone, monitoring",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,,,,51.10195,17.03667
64009883,gotowe-zamkniete-osiedle-dobra-komunikacja-parki-ID4kzTt,primary,SELL,FLAT,agency,547000.0,59.2,3,,floor_1,3.0,,full_ownership,block,to_completion,balcony,,plastic,550.0,urban,"anti_burglary_door, closed_area, entryphone, monitoring",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Oporów,,,51.08,16.96
63969110,trzypokojowe-ogrodek-100m2-mp-ID4kphQ,secondary,SELL,FLAT,agency,740000.0,80.5,3,2022.0,ground_floor,2.0,brick,full_ownership,ribbon,to_completion,"garage, garden, terrace",,plastic,300.0,gas,"anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters",Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Ołtaszyn,,,51.04297282633775,17.02955310058594
63665393,centrum-taras-widok-na-odre-prestizowe-osiedle-ID4j8hb,primary,SELL,FLAT,agency,997000.0,87.0,4,2023.0,floor_3,17.0,,full_ownership,apartment,to_completion,"balcony, garage, lift, separate_kitchen, terrace, usable_room",,plastic,,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Śródmieście,,,51.127124,17.049401
63667380,taras-43m2-widok-na-miasto-i-rzeke-rabat-50tys-ID4j8Ne,primary,SELL,FLAT,agency,955000.0,78.8,4,2023.0,floor_4,23.0,,full_ownership,apartment,,"balcony, garage, lift, separate_kitchen, terrace",,plastic,,urban,monitoring,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Śródmieście,,,51.127124,17.049401
63821275,duzy-balkon-centrum-nad-odra-dwustronne-tramwaj-ID4jMPp,primary,SELL,FLAT,agency,678000.0,60.0,3,2023.0,floor_5,6.0,,full_ownership,apartment,to_completion,"balcony, garage, lift, separate_kitchen",,plastic,,urban,monitoring,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Śródmieście,,,51.127124,17.049401
64009867,do-remontu-inwestycja-szczepin-4m-balkon-ID4kzTd,secondary,SELL,FLAT,agency,542999.0,64.0,4,1980.0,floor_3,4.0,concrete_plate,,block,to_renovation,"balcony, basement, lift, separate_kitchen, usable_room",,,660.0,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Szczepin,,,51.1203945,17.0028373
63975843,prestizowe-osiedle-przy-rzece-gotowe-rabat-63tys-ID4kr2r,primary,SELL,FLAT,agency,728000.0,60.0,3,2023.0,floor_3,17.0,,full_ownership,apartment,to_completion,"balcony, garage, lift, terrace",,plastic,,urban,monitoring,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Śródmieście,,,51.12857838268704,17.054979994750962
64009858,marina-dwustronne-winda-balkon-duzo-zieleni-nowe-ID4kzT4,primary,SELL,FLAT,agency,556470.0,48.6,3,2023.0,floor_3,4.0,,,apartment,to_completion,"balcony, basement, garage, lift",,plastic,,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Śródmieście,,,51.11324,17.08127
64009857,przystan-winda-balkon-10min-grunwaldzki-silownia-ID4kzT3,primary,SELL,FLAT,agency,565933.0,51.1,3,2023.0,floor_2,4.0,,,apartment,to_completion,"balcony, basement, garage, lift",,plastic,,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Śródmieście,,,51.11324,17.08127
64009856,mini-port-wsrod-zieleni-winda-balkon-silownia-nowe-ID4kzT2,primary,SELL,FLAT,agency,618450.0,57.0,3,2023.0,floor_1,4.0,,,apartment,to_completion,"balcony, basement, garage, lift",,plastic,,urban,,Polska,dolnoslaskie,powiat-wroclaw,wroclaw,Śródmieście,,,51.11324,17.08127
